ˈi:zl|ˈizəl,easel,n黑板;画架,n. 画架，黑板架；,.
ˈi:vzdrɒp|ˈivzdrɑp,eavesdrop,v偷听;窃听,vi. 偷听（别人的谈话）；|n. 檐水；,eavesdrop on sth
eb|ɛb,ebb,v退潮|衰退,vi. （指潮水）退； 跌落； 减少； 衰落|n. 退潮； 落潮； 衰退； 减少,at an ebb
ɪ'bʊlɪəns|ɪˈbʊljəns*** ɪˈbʌl-,ebullience,n兴冲冲;亢奋,n. （感情等的）奔放，兴高采烈； 沸腾；,with ebullience that;ebullient
ɪkˈsentrɪk|ɪkˈsɛntrɪk*** ɛk-,eccentric,a古怪的;反常的|n古怪的人,adj. 古怪的，异常的； 偏离轨道的； 离心的；|n. 古怪的人； [物]偏心轮；,perform with eccentric;an eccentric character
ɪˈklektɪk|ɪˈklɛktɪk,eclectic,a折衷的;综合性的,adj. 折衷的； 选择的；|n. 折中主义者；,galleries with an eclectic range of styles and artists ;eclectic scheme
ɪ'klektɪsɪzəm|ɪ'klektɪsɪzəm,eclecticism,n折衷主义,n. 折中主义者；,cultural eclecticism
iˈkɒlədʒɪst|iˈkɑlədʒɪst,ecologist,n生态学家;生态学者,n. 生态学者；,.
ˌi:kəˈnɒmɪkl|ˌikəˈnɑmɪkl,economical,a经济的;节约的,,She is economical with/in her use of salt when cooking
ˈekstəsi|ˈɛkstəsi,ecstasy,n狂喜|激情状态,n. 狂喜； 出神，忘形； 无法自控的情绪； 迷幻药,in an ecstasy of
ɪkˈstætɪk|ɛkˈstætɪk,ecstatic,a狂喜的;心花怒放的,adj. 狂喜的； 入迷的，出神的；|n. 狂喜的人；,ecstatic review/praise/applause
ˈedi|ˈɛdi,eddy,n漩涡;涡流,n. （水、烟等的）漩涡，涡流；|vt.& vi. 起漩涡，旋转；,eddy about in the market-place
ˈedɪfɪs|ˈɛdəfɪs,edifice,n宏伟的建筑(如宫殿、教堂),n. 大建筑物； 知识的结构；,Their head office was an imposing edifice.
ˈedɪfaɪ|ˈɛdəˌfaɪ,edify,v陶冶;启发,vt. 开导，启发；,edifying books;edify your mind
ɪˈfeɪs|ɪˈfes,efface,v擦掉;抹去,vt. 擦掉； 抹去； 超越； 使黯然失色,face ;hard to efface
ˌefə'ves|ˌɛfɚˈvɛs,effervesce,v冒泡|热情洋溢,vi. 冒气泡，起泡沫；,effervesce with warmth and happiness
ɪˈfi:t|ɪˈfit,effete,a无生产力|虚弱的,adj. 虚弱无力的； 衰落的； 柔弱的； 女人气的,an effete empire;effete Russian gentry
ˌefɪˈkeɪʃəs|ˌɛfɪˈkeʃəs,efficacious,a有效的,adj. （药、措施等）有效的；,an efficacious treatment*** medicine***
ˈefɪkəsi|ˈɛfɪkəsi,efficacy,n功效;有效性,n. 功效； 效力； 效验； 生产率,the efficiency of the train service
ɪ'flu:vjə|ɪ'fluvjə,effluvia,n气味;恶臭|废料,n. 臭气(effluvium的复数形式)； 臭气( effluvium的名词复数 )； 恶臭； 放出 无声放电；,horrible bodily effluvia
ɪˈfrʌntəri|ɪˈfrʌntəri,effrontery,n厚颜无耻,n. 厚颜无耻，无礼（的行为）；,have the effrontery to do sth
ɪˈfʌldʒənt|ɪˈfʊldʒənt*** ɪˈfʌl-,effulgent,a灿烂的,adj. <文>发光的，闪亮的，耀眼的； 绚；,effulgent future
iˌgælɪˈteəriən|iˌgælɪˈteriən,egalitarian,a主张人人平等的,adj. 主张平等的； 平等主义的；|n. 平等主义； 平等主义者；,an egalitarian society
ˌegəʊˈsentrɪk|ˌigoʊˈsentrɪk,egocentric,a利己的,adj. 自我中心的，自私自利的；,self-centred ;children are egocentric
i:ɡətɪst|'iɡətɪst,egotist,n自私自利者,n. 自我中心主义者；,
ɪˈgri:dʒiəs|ɪˈɡridʒəs*** -dʒiəs,egregious,a(缺点等)过分的;惊人的,adj. 极坏的，异乎寻常的；,an egregious fool;the most egregious abuses
ˈi:gres|ˈiˌɡrɛs,egress,n出去;出口,n. 外出； 出路，出口； 运出；,ingress;a safe egress
ɪˈlæbərət|ɪˈlæbəret,elaborate,a精致的;复杂的|v详尽地说明;阐明,vi. 详尽说明； 变得复杂；|vt. 详细制定； 详尽阐述； [生理学]加工； 尽心竭力地做,silks with elaborate patterns ;McDonald refused to elaborate on his reasons for resigning.
ɪˌlæbə'reɪʃn|ɪˌlæbəˈreʃən,elaboration,n详细的细节;详尽阐述,n. 精心制作（或计划）； 精致； 详尽（阐述）； 精心完成的东西,we need a bit more elaboration on
iˈleɪtɪd|ɪˈletɪd,elated,a得意洋洋的;振奋的,adj. 兴高采烈的，得意洋洋的；|v. 使兴奋；,She was elated at the prospect of a holiday.
ˈelbəʊ|ˈelboʊ,elbow,n肘,n. 肘部； 弯头，扶手； 肘形管，弯管；|vt. 用肘推挤（另一人或另一些人）； 用手肘推开；|vi. 用肘推搡着前进； 在拐角处转弯；,He elbowed his way to the bar and ordered a beer.
ˈelədʒi|ˈɛlədʒi,elegy,n哀歌;挽歌,n. 哀歌，挽歌；,dirge;a touching elegy for a lost friend
ˌelɪˈmentri|ˌɛləˈmɛntəri*** -tri,elementary,a初级的,,You’ve made a very elementary mistake. ;elementary education
ˌelɪˈfæntaɪn|ˌelɪˈfæntin,elephantine,a笨拙的;庞大的,adj. 象的； 巨大的； 笨拙的； 沉重的,elephantine footsteps
ˈelɪveɪt|ˈɛləˌvet,elevate,v将…举起,vt. 举起； 提高； 提升； 鼓舞,elevate somebody/something to something
iˈlɪsɪt|ɪˈlɪsɪt,elicit,v引出;探出,vt. 引出，探出； 诱出（回答等）；,licit adj.合法的*** 正当的;When her knock elicited no response *** she opened the door and peeped in.
ˈelɪdʒəbl|ˈɛlɪdʒəbəl,eligible,a合格的,adj. 合适的； 在（法律上或道德上）合格的； 有资格当选的； 称心如意的|n. 合格者； 合适者； 称心如意的人； 合乎条件的人（或东西）,eligible to do something ;eligible for
ɪˈlɪmɪneɪt|ɪˈlɪməˌnet,eliminate,v除去;淘汰,vt. 排除，消除； 淘汰； 除掉； <口>干掉,eliminate noise
eɪˈli:t|ɪˈlit*** eˈlit,elite,n精华;中坚,n. <法>精华； 精锐，精英； 上层集团； （统称）掌权人物,political/social/economic etc elite
ɪˈlɪpsɪs|ɪˈlɪpsɪs,ellipsis,n省略,n. （语法结构上的）省略；,end with an ellipsis;v.omit
ɪˈlɪptɪkl|ɪˈlɪptɪkl,elliptical,a椭圆的|晦涩的|省略的,adj. 椭圆的； 像椭圆形的； 省略的；,the elliptical orbits of planets
elm|ɛlm,elm,n榆树,n. [植]榆树，榆木；,made of elm
ˌeləˈkju:ʃn|ˌɛləˈkjuʃən,elocution,n演说术,n. 演说艺术； 朗诵法（指姿态，风度，口才等），发声法；,elocution lessons ;elocute vi.作慷慨激昂的演说***朗诵 vt.慷慨激昂地讲出*** 朗读出
ˈi:lɒŋgeɪt|ɪˈlɔŋgeɪt,elongate,v延长;伸长,vt. 延长，加长；,an elongate leaf;Her legs were elongated by the very high heels which she wore.
eləkwəns|ˈɛləkwəns,eloquence,n雄辩;精彩演讲,n. 口才，辩才； 雄辩； 雄辩术； 修辞法,an eloquent appeal for support
iˈlu:sɪdeɪt|ɪˈlusɪˌdet,elucidate,v阐明;说明,vt. 阐明，解释；,elucidate a mystery
iˈlu:d|ɪˈlud,elude,v逃避|搞不清,vt. 逃避； 使…迷惑； 理解不了； 抓不到,elude capture
iˈlu:sɪv|ɪˈlusɪv,elusive,a难懂的,adj. 难以捉摸的； 不易记住的； 逃避的； 难以找到的,an elusive word
ɪ'meɪʃɪeɪt|ɪˈmeʃiˌet,emaciate,v使…瘦弱|消瘦,vt. 使消瘦，使衰弱；,The prisoners were ill and emaciated.
ɪˌmeɪsɪ'eɪʃn|ɪˌmeʃɪˈeʃən,emaciation,n消瘦;衰弱,n. 消瘦，憔悴，衰弱；,illness marked by rapid emaciation
ˈeməneɪt|ˈɛməˌnet,emanate,v散发;发出;发源,vi. 发出，散发； 放射； 起源；,The idea originally emanated from his brother.
ɪˈmænsɪpeɪt|ɪˈmænsəˌpet,emancipate,v解放;解除,vt. 解放； 解脱（疑虑，迷信，偏见等）； [法]使（孩子）脱离父母的管束（获得行动自主权）；,emancipate slaves
ɪmˈbɑ:gəʊ|ɪmˈbɑrgoʊ,embargo,n禁运令;封港令,n. 禁运（令）； 停止通商（令）； 禁止； 限制|vt. 封（港），禁止（船只）出入港口； 禁运，停止； 扣留征用；,embar v.囚禁*** 阻遏;an embargo on/against
ɪmˈbærəs|ɛmˈbærəs,embarrass,v使忸怩;使难堪,vt.& vi. （使）窘迫，（使）局促不安； （使）困难；,embarrass her by asking questions.
ɪm'bed|ɛmˈbɛd,embed,v牢牢插入;嵌于,vt.&vi. 把…嵌入； 栽种； 深留（记忆中）；,Feelings of guilt are deeply embedded in her personality.
ɪmˈbelɪʃ|ɛmˈbɛlɪʃ,embellish,v装饰;润饰,vt. 装饰； 润色； 修饰；|vi. 装饰起来； 加以润色；,a dress embellished with lace and ribbons
ɪm'bezlmənt|ɪm'bezlmənt,embezzlement,n贪污;盗用,n. 盗用，挪用； 贪污； 侵吞公款； 侵占,charged with embezzling $400***000.
ˌembləˈmætɪk|ˌɛmbləˈmætɪk,emblematic,a作为象征的,adj. 象征的，可当标志的； 象征性；,emblematic of sophisticated urban culture
ɪmˈbɒdi|ɪmˈbɑdi,embody,v(作品等)表达;体现,vt. 表现，象征； 包含，收录； 使具体化； [军]组编,She embodies everything I admire in a teacher.
ɪmˈbəʊldən|ɪmˈboʊldən,embolden,v鼓励,vt. 鼓励，使有胆量；,bold;Emboldened by her smile*** he asked her to dance.
ɪmˈbɒs|ɪmˈbɔs,emboss,v加浮雕花纹于;使凸出,vt. 装饰； 浮雕（图案）； 压印浮凸字体（或图案）； 凹凸印,A Bible embossed with her name.
ɪmˈbreɪs|ɛmˈbres,embrace,v拥抱|包含,vt.& vi. 拥抱；|vt. 包括； 包含； 接受； 信奉|n. 拥抱，怀抱；,Jack warmly embraced his son.
ɪmˈbrɔɪdə(r)|ɛmˈbrɔɪdɚ,embroider,v刺绣;修饰,vt.& vi. 刺绣； 在…上绣花； 渲染；,embroider the truth; broider vt.刺绣; with my name embroidered on it.
iˈmend|ɪˈmɛnd,emend,v订正;校订,vt. 校订，修改；,emend a passage in a book
iˈmɜ:dʒənsi|iˈmɜrdʒənsi,emergency,n紧急事件,n. 紧急情况； 突发事件； 非常时刻；|adj. 紧急的，应急的；,He deals with emergencies
ˈemɪgreɪt|ˈɛmɪˌɡret,emigrate,v自本国移居他国,vt. 移居国外；,emigrate from to
ˈemɪnəns|ˈɛmənəns,eminence,n卓越;杰出,n. 显赫，卓越； 身份显赫的人； 高地；,rise eminence in one's profession
ˈemɪnənt|ˈɛmənənt,eminent,a著名的;显著的,adj. （指人）知名的，杰出的，卓越的； （指品质、特性）明显的，显着的，突出的； 显赫的； 闻达,an eminent cream
ˈemɪsəri|ˈemɪseri,emissary,n密使|特使,n. （外交上的）使者；,two emissaries to Washington to discuss trade issues.
iˈmɪt|ɪˈmɪt,emit,v放射(光、热、味等),vt. 发出； 发射； 颁布； 发表,emit an opinion.
iˈmɒliənt|iˈmɑliənt,emollient,n润肤剂,adj. 使柔软的； 安慰性的，起镇静作用的；|n. 润滑剂，润肤剂；,Almond oil is renowned for its soothing*** emollient properties.
ɪˈməʊt|ɪˈmoʊt,emote,v激动地表达感情,vi. <书>强烈地表现[表露]感情；,mote; emote to the music as they dance.;emotion
ˈempəθi|ˈɛmpəθi,empathy,n心意相通;(感情等)融为一体,n. <心>移情作用； 同感，共鸣； 神入；,She had great empathy with people. ; sympathy
ɪmˈfætɪk|ɛmˈfætɪk,emphatic,a重视的;强调的,adj. 着重的； 强调的； 显著的； 加强语气的,be emphatic about;emphatic response
ɪmˈpɪrɪkl|ɛmˈpɪrɪkəl,empirical,a经验的;实证的,adj. 凭经验的； 经验主义的； 以观察或实验为依据的；,no empirical evidence to support his thesis
ɪmˈpɪrɪsɪzəm|ɛmˈpɪrɪˌsɪzəm,empiricism,n经验主义,n. <哲>实证论，经验主义，经验论；,an unswerving empiricist
ɪmˈpaʊə(r)|ɛmˈpaʊɚ,empower,v授权给某人采取行动,vt. 授权； 准许； 使能够； 使控制局势,be empowered to do something
ˌempaɪ'ri:əl|ˌɛmpaɪˈriəl*** ɛmˈpɪriəl,empyreal,a天空的,adj. 最高天的，太空的；,Empyreal science and technology
ˈemjuleɪt|ˈɛmjəˌlet,emulate,v努力赶上或超越,vt. 仿真； 竞争； 努力赶上；,emulate sb at sth
ɪˈmʌlsɪfaɪ|ɪˈmʌlsəˌfaɪ,emulsify,v使乳化,vt. 使乳化；,emulsify the oil
ɪˈnækt|ɛnˈækt,enact,v制定(法律)|扮演(角色),vt. 制定法律； 规定； 颁布，颁布； 担任…角色,act;Congress refused to enact the bill.
ɪˈnæml|ɪˈnæməl,enamel,n珐琅;瓷釉,n. 搪瓷； 珐琅； 指甲油；|vt. 给…上珐琅； 在…涂瓷漆；,a white enamel saucepan
ɪ'næməd|en'æməd,enamored,a珍爱的;喜爱的,adj. 倾心的，被迷住的；|v. 使倾心，使迷恋( enamor的过去式和过去分词 )；,He was greatly enamoured of Elizabeth.
ɪnˈkæpsjuleɪt|ɛnˈkæpsəˌlet,encapsulate,v装入胶囊|压缩,vt. 封装； 概述；|vi. 形成囊状物；,capsulate adj.有蒴的*** 包于胶囊内的;encapsulate something in something
ɪnˈtʃɑ:nt|ɪnˈtʃænt,enchant,v使迷醉|施魔法于,vt. 使心醉，使迷惑； 用魔法迷惑；,be enchanted by/with the singing of the children
ɪnˈkləʊʒə(r)|ɪnˈkloʊʒə(r),enclosure,n圈地;围占,n. 圈占； 围绕； 圈占地； 附件,the enclosure of arable land for pasture
ɪn'kəʊmɪæst|ɛnˈkomiˌæst*** -əst,encomiast,n赞美者,n. 宣读或写颂辞的人，阿谀者，赞美者；,flatterer
enˈkəʊmiəm|enˈkoʊmiəm,encomium,n赞颂;颂辞,n. 赞美词，颂词，极度颂誉之词；,earning the encomium of
ɪnˈkʌmpəs|ɛnˈkʌmpəs,encompass,v包围;围绕,vt. 围绕，包围； 包含或包括某事物； 完成；,compass n.罗盘*** 指南针***圆规v.包围The houses encompassed about 100 square metres.
ɪnˈkaʊntə(r)|ɛnˈkaʊntɚ,encounter,v遭遇,vt. 不期而遇； 遭遇； 对抗；|n. 相遇，碰见； 遭遇战； 对决，冲突；|vi. 碰见，尤指不期而遇；,encounter major and minor stresses of
ɪnˈkrəʊtʃ|ɪnˈkroʊtʃ,encroach,v侵占;蚕食,vi. 侵犯； 侵占； 蚕食； 侵蚀|vt. 侵入，侵犯； 侵略，侵占； 侵害； 侵蚀,encroach on sth
ɪnˈkʌmbə(r)|ɛnˈkʌmbɚ,encumber,v妨害;阻碍,vt. <正>妨碍，阻碍，拖累；,cumber;The whole process was encumbered with bureaucracy.
ɪnˌsaɪklə'pi:dɪə|ɛnˌsaɪkləˈpidiə,encyclopedia,n百科全书,n. 百科全书；|na. “encyclopaedia”的变体；,a encyclopedia of music
ɪnˈdɪərɪŋ|ɪnˈdɪrɪŋ,endearing,a讨人喜欢的,adj. 使人喜欢的，讨人喜欢的；|v. 使某人（自己）受某人喜欢(endear的现在分词)； 令…喜欢某人/自己； “endear”的现在分词；,an endearing smile
enˈdemɪk|ɛnˈdɛmɪk,endemic,a地方性的,adj. 某地特有的； （尤指疾病）地方性的； 风土的； （动，植物）某些特产的|n. 地方病； 某地特产的植物[动物]；,epidemic ;Violent crime is now endemic in parts of Chicago.
ɪnˈdɔ:s|ɪnˈdɔrs,endorse,v背书|赞同,vt. 支票的背书，签名； 签署，批准：签署（签名），； 开发票，开证明文件； 支持，核准,endorse a proposal/an idea/a candidate etc
ɪnˈdaʊ|ɛnˈdaʊ,endow,v资助;捐助,vt. 捐赠，资助； 赋予，赐予；,She was endowed with good looks.
ɪnˈdjʊə(r)|ɪnˈdʊr,endure,v忍受;忍耐,vt. 忍耐； 容忍；|vi. 持续，持久； 忍耐；,He can’t endure being apart from me.
ɪnˈdjʊərɪŋ|ɪnˈdʊrɪŋ,enduring,a持续的,adj. 持久的，不朽的；|v. （长时间地）忍受，忍耐，容忍( endure的现在分词 )； 持续，持久，坚持下去；,enduring hatred
ˈenəveɪt|ˈenərveɪt,enervate,v使虚弱;使无力,vt. 使衰弱，使失去活力；,The hot sun enervated her to the point of collapse.
ɪnˈfi:bl|ɛnˈfibəl,enfeeble,v使衰弱,vt. 使衰弱，使无力；,enfeeble our government's ability to do
en'fetə|ɛnˈfɛtɚ*** ɪn-,enfetter,v给…上脚镣|束缚;使受制于,vt. 用镣铐束缚；  使带上脚镣；  使受约束； 使受奴役,.
ɪn'fleɪm|ɪn'fleɪm,enflame,v使愤怒或激动,v. 燃烧；,enflame tensions
ɪnˈgeɪdʒd|ɛnˈɡedʒd,engaged,a忙碌的;使用中的,adj. （指厕所等）有人用的； 已订婚的； （指电话）占线的； 忙碌的|v. 与某人订婚； 保证，约定； 从事( engage的过去式和过去分词)； 吸引或引起（注意、兴趣等）,She rang Mrs Tavett but the line was engaged . ;be otherwise engaged
ɪnˈgeɪdʒɪŋ|ɛnˈɡedʒɪŋ,engaging,a迷人的;美丽动人的,adj. 迷人的； 吸引人的；|v. 雇佣(engage的ing形式)； 预订；,an engaging smile;使注意的
ɪnˈdʒendə(r)|ɛnˈdʒɛndɚ,engender,v产生;引起,vt. 产生； 造成； 引起；|vi. 形成； 引起；,poverty engenders crime
ɪnˈgreɪv|ɛnˈɡrev,engrave,v在(硬物)上雕刻,vt. （使）铭记； 雕刻，镌刻； 深印于（心上）； 印刷,engrave something on something;该墓碑
ɪnˈgrəʊs|ɪnˈgroʊs,engross,v全神贯注于,vt. 使全神贯注；,gross be engross in sth (one's work);engross oneself in doing sth;absorb
ɪnˈgʌlf|ɛnˈɡʌlf,engulf,v吞噬,vt. 吞没； 包住； 吞食； 狼吞虎咽,a boat engulfed in/by the waves
ɪnˈhɑ:ns|ɪnˈhæns,enhance,v提高;增加;改善,vt. 提高，增加； 加强；,enhance that reputation
ɪnˈdʒɔɪn|ɛnˈdʒɔɪn,enjoin,v命令;吩咐,vt. 命令；,join 参加 enjoin obedience on sb
ɪnˈlaɪtn|ɛnˈlaɪtn,enlighten,v启发;开导;教导;授予…知识,vt. 启发，启蒙； 开导，教导； 〈古〉照耀；,lighten enlighten sb on sth
ɪn'laɪtnɪŋ|ɪn'laɪtnɪŋ,enlightening,a有启迪作用的|使人领悟的,adj. 有启发作用的，使人领悟的；|v. 启发，开导( enlighten的现在分词 )；,
ɪnˈlɪst|ɛnˈlɪst,enlist,v(使)入伍从军;征募,vt. 征募； 赢得…的支持或合作； 赞助；|vi. 应募，入伍； 积极参与；,enroll;enlist sb’s help/services etc
ɪnˈlaɪvn|ɛnˈlaɪvən,enliven,v使…更活跃,vt. 使活泼； 使生动； 使有生气；,Humour can help enliven a dull subject.
ɪnˈmeʃ|ɛnˈmɛʃ,enmesh,v通常被动)绊住;陷入,vt. 使陷入（网中）；,mesh;enmesh North Korea in greater cooperation with
,L14,,,
ˈenməti|ˈɛnmɪti,enmity,n敌意;仇恨,n. 仇恨； 敌意； 敌视； 敌对的状态,enmity between/towards;animus
ɒnˈwi:|ɑnˈwi,ennui,n倦怠;无聊|v使无聊,n. 厌倦，无聊；,a sense of ennui;overcome ennui
ɪˈnɔ:məti|ɪˈnɔrməti,enormity,n极恶|暴行|巨大,n. 穷凶极恶； 弥天大罪； 巨大； 极大,the enormity of the disaster
ɪˈnɔ:məs|ɪˈnɔrməs,enormous,a极大的;巨大的,,an enormous disappointment
ɪnˈreɪdʒ|ɛnˈredʒ,enrage,v激怒;触怒,vt. 激怒，使暴怒；,Many readers were enraged by his article.
ɪnˈræptʃə(r)|ɛnˈræptʃɚ,enrapture,v使狂喜;使高兴,vt. 使狂喜；,The audience was enraptured by her beautiful voice.
ɪnˈskɒns|ɪnˈskɑns,ensconce,v安置;安坐,vt. 使安坐 ； 安置； 使安顿；,ensconce oneself in an armchair
ɒnˈsɒmbl|ɑnˈsɑmbl,ensemble,n全体|大合唱,n. 全体； <音>合奏； 全套服装； 总效果,an ensemble of Mexican artistes
ˈensən|ˈɛnsən*** -ˌsaɪn,ensign,n舰旗(船上表示所属国家的旗帜),n. 旗，船旗，国旗； <美>海军少尉； （表示职别等的）徽章；,the red ensign
ɪnˈsju:|ɪnˈsu,ensue,v继而发生,vi. 接踵发生，继而产生；|vt. [圣]追求；,problems that ensue from food and medical shortages
ɪn'ʃʊə(r)|ɛnˈʃʊr,ensure,v确保;担保,vt. 确保； 担保获得[避免]； 使（某人）获得； 使安全,ensure long life and prosperity
ɪnˈteɪl|ɛnˈtel*** ɪn-,entail,v需要;需求;必须,vt. 牵涉； 需要； 使必要； 限定继承,entail sth on sb;The journey will entail changing trains twice
ɪnˈtæŋgl|ɛnˈtæŋɡəl,entangle,v使纠缠;卷入,vt. 使纠缠，缠住； 使卷入，使陷入，连累； 使混乱；,tangle n.混乱状态v.处于混乱状态entangle sb/sth in/with/among sth
ˈentəpraɪz|ˈentərpraɪz,enterprise,n公司;事业单位|进取心,n. 企（事）业单位； 事业，计划； 事业心，进取心；,the spirit of enterprise
ɪn'θrɔ:lɪŋ|ɪn'θrɔlɪŋ,enthralling,a迷人的;吸引人的,adj. 迷人的；|v. 迷住，吸引住( enthral的现在分词 )； 迷住，吸引住( enthrall的现在分词 )； 使感到非常愉快；,enthrall thrall;an enthralling experience
ɪnˈtaɪs|ɛnˈtaɪs,entice,v怂恿;引诱,vt. 诱惑； 怂恿；,entice sb into doing sth
ɪnˈtaɪərəti|ɛnˈtaɪrɪti*** -ˈtaɪrti,entirety,n整体;全面,n. 整体，全面； 作为一个整体； 完全；,the entirety of something
ɪnˈtaɪtl|ɛnˈtaɪtl,entitle,v使有权(做某事),vt. 使有资格； 给…定名； 给与…权利； 称做,entitle sb to do sth
ˈentəti|ˈɛntɪti,entity,n实体;统一体,n. 实体； 实际存在物； 本质；,legal entity
ˈentrəns|ˈentrəns,entrance,v使出神;使入迷,n. 入口，进口； 进入； 进入方法，进入方式； 入场权|vt. 使出神，使入迷； 使喜悦，使狂喜；,I was entranced by the sweetness of her voice. at the entrance of
ɪn'trɑ:nsɪŋ|ɪn'trɑnsɪŋ,entrancing,a使人入神的,adj. 使人神魂颠倒的，使人入神的；,entrancing lights
ɪnˈtri:t|ɛnˈtrit,entreat,v恳求,vt. 恳求，乞求； 〈古〉对待；|vi. 恳求，乞求；,treat;entreat somebody to do something
ɪnˈtri:ti|ɛnˈtriti,entreaty,n恳求;哀求,n. <正>恳求，乞求；,treaty; decline sb's entreaties to
,entrée,n正餐前的开胃菜,,
ˌɒntrəprəˈnɜ:(r)|ˌɑntrəprəˈnɜ(r),entrepreneur,n企业家;创业人,n. <法>企业家； 主办人； 承包人；,a creative entrepreneur
ɪnˈtrʌst|ɪnˈtrʌst,entrust,v委托|托付,vt. 委托，托付；,trust entrust sth to sb
ˈentri|ˈɛntri,entry,n条目|登录|报关手续|入口,n. 进入，入场； 入口处，门口； 登记，记录； 参加比赛的人,.
ɪˈnju:məreɪt|ɪˈnuməreɪt,enumerate,v列举;枚举,vt. 列举，枚举，数；,She enumerated the items we had to buy sugar*** tea*** soap*** etc
ɪˈnʌnsieɪt|ɪˈnʌnsiˌet,enunciate,v发音|(清楚地)表达,vi.&vt. （清晰地）发音； 确切地说明；,enunciate one's opinions
ɪn'vaɪərən|ɛnˈvaɪrən*** -ˈvaɪən,environ,v包围;围绕,vt. 包围，环绕，（敌意地或保护性的）围住；,Trees environ the yard
ɪnˈvɪʒn|ɛnˈvɪʒən,envision,v想象;预想,vt. 想像，预见，展望；,I envisioned a future of educational excellence.
ˈenzaɪm|ˈɛnzaɪm,enzyme,n酵素;酶,n. [生化]酶；,enzyme production
epəlet|ˈɛpəˌlɛt*** ˌɛpəˈlɛt,epaulet,n肩章;肩饰,n. （军服上的）肩章；,epaulet at each shoulder
ɪˈfemərəl|ɪˈfɛmərəl,ephemeral,a朝生暮死的|生命短暂的,adj. 短暂的，瞬息的； 朝露； 一年生； 朝生暮死,ephemeral pleasures
ˈepɪk|ˈɛpɪk,epic,n叙事诗;史诗|a英雄的|大规模的,n. 叙事诗； 史诗； 史诗般的作品；|adj. 史诗般的，叙事诗的； 宏大的，壮丽的，英雄的； 壮丽的；,his epic journey to South America
ˈepɪkjʊə(r)|ˈepɪkjʊr,epicure,n美食家,n. 讲究饮食的人；,gourmet ;this epicure of five years old
ˌepɪˈdemɪk|ˌɛpɪˈdɛmɪk,epidemic,a传染性的;流行性的,n. 流行病； 迅速的传播、生长或发展； 风尚等的流行；|adj. 流行性的； 极为盛行的；,epidemic influenza.
ˌepɪˈdɜ:mɪs|ˌepɪˈdɜrmɪs,epidermis,n表皮;外皮,n. 表皮；,epi-在上*** 向 a damaged epidermis;epidermic
ˈepɪgræm|ˈɛpɪˌɡræm,epigram,n讽刺短句;警句,n. 机智的短诗，警句，讽刺诗；,modern epigram
ˈepɪlɒg|ˈepɪlɔg,epilogue,n收场白|尾声,n. （文艺作品的）尾声； 后记； （戏剧等的）收场诗； 收场白,prologue 开场白a disastrous epilogue to his career;coda
ˌepɪˈsɒdɪk|ˌepɪˈsɑdɪk,episodic,a偶然发生的;分散性的,adj. （小说、剧本等）由松散片段组成的，插曲般的；,his episodic involvement in politics ;episodic attacks of fever
ˈepɪtɑ:f|ˈepɪtæf,epitaph,n墓志铭,n. 墓志铭，纪念死者的文字；,write the epitaph
ˈepɪθet|ˈɛpəˌθɛt,epithet,n(贬低人的)短语或形容词,n. （表示性质、特征等的）词语；,He hardly deserves the epithet ‘fascist’.
ɪˈpɪtəmi|ɪˈpɪtəmi,epitome,n典型|梗概,n. 缩影； 典型的人或事物； （书、演讲等的）摘要；,He was the very epitome of evil.
ɪˈpɪtəmaɪz|ɪˈpɪtəˌmaɪz,epitomize,v概括;摘要,vt. 作…的摘要； 成为…的缩影； 概括； 集中体现,This building epitomizes the spirit of the nineteenth century.
ˈi:pɒk|ˈepək,epoch,n纪元|重大的事件,n. 纪元； 时期； 新时代； 世,The king’s death marked the end of an epoch .
ˈekwəbl|ˈɛkwəbəl*** ˈikwə-,equable,a稳定的;不变的|(脾气)温和的,adj. 变化小的； 宁静的； 温和的； 稳定的,an equable climate
ˌekwəˈnɪməti|ˌikwəˈnɪmɪti*** ˌɛkwə-,equanimity,n镇定;沉着,n. 平和，镇静；,Nothing disturbs his equanimity
iˈkweɪt|ɪˈkwet,equate,v认为…相等或相仿,vt. 使相等； 相当于； 等同；,I equate this with power and authority
ɪˈkweɪʒn|ɪˈkweʒən*** -ʃən,equation,n等式|等同;相等,n. 方程式； 等式； 相等； [化学] 反应式,the equation between
ɪˈkweɪtə(r)|ɪˈkwetɚ,equator,n赤道,n. 赤道； （平分球形物体的面的）圆； （任何）大圆；,on/at/near the equator
ˌi:kwɪˈlɪbriəm|ˌikwəˈlɪbriəm*** ˌɛkwə-,equilibrium,n平衡,n. 平衡，均势； 平静；,She struggled to recover her equilibrium.
ˈekwaɪn|ˈikwaɪn,equine,a马的;似马的,adj. 马的，似的，似马的，马科的马的； [动]马的，似马的，马科的；|n. 马； 马科动物；,the equine species; leonine ursine aquiline bovine asinine porcine feline
ˈekwəti|ˈɛkwɪti,equity,n公平;公正,n. 公平； 公道； 公正裁决； 公平合理（或公正）的事|adj. 股票的； 股市的；,a society run on the principles of equity and justice
ɪˈkwɪvələnt|ɪˈkwɪvələnt,equivalent,a相等的;等值的,adj. 相等的，相当的，等效的； 等价的，等积的； [化学]当量的；|n. 对等物； [化学]当量；,the equivalent of
